subject,n,r,p_value
sub-01,240,0.569807624023575,4.627739925301961e-22
sub-02,240,0.487219393718825,1.0335410978099326e-15
sub-03,240,0.5445513589149074,6.23353030251362e-20
sub-04,240,0.5117158653592037,2.0332805606717568e-17
sub-05,240,0.49961817266239605,1.47184211815612e-16
sub-06,240,0.5569440215828012,5.9225447458257856e-21
sub-07,240,0.5519137147017498,1.557986589419936e-20
sub-08,240,0.5554297649941135,7.937864730975224e-21
sub-09,240,0.4794986170961588,3.3448858565748738e-15
sub-10,240,0.5340834423272963,4.2253407575311016e-19
sub-11,240,0.5148043373341671,1.2111877006930658e-17
sub-12,240,0.5517167155946688,1.617596751004502e-20
sub-13,240,0.504842949314497,6.320664522009931e-17
sub-14,240,0.516592195654644,8.952089572896849e-18
sub-15,240,0.5709772365645851,3.6499707177397378e-22
sub-16,240,0.5269077465802134,1.510602809670373e-18
sub-17,240,0.47193869044649445,1.0268848663223457e-14
sub-18,240,0.5495112424200197,2.4586405224306408e-20
sub-19,240,0.5303131006594519,8.283514879140178e-19
sub-20,240,0.4563723924031873,9.496144869173308e-14
sub-21,240,0.5119981772727387,1.939663275284303e-17
sub-22,240,0.5015648260969177,1.076019783598807e-16
sub-23,240,0.49890715070372266,1.6494346521420753e-16
sub-24,240,0.61965190347427,7.602211482277624e-27
sub-25,240,0.5654624758727356,1.1085279275188092e-21
sub-26,240,0.4839760540399544,1.698854142797032e-15
sub-27,240,0.3735581414324566,2.3063416844439693e-09
sub-28,240,0.6176173671242321,1.2390543734446137e-26
sub-29,240,0.5552038838217814,8.291287074203473e-21
sub-30,240,0.521787121344653,3.6816063332211055e-18
sub-31,240,0.539066100360871,1.7133915731206228e-19
sub-32,240,0.5064041139393749,4.896093689845219e-17
sub-33,240,0.521698455466258,3.738342614848881e-18
sub-34,240,0.4701586529579075,1.3319473626074368e-14
sub-35,240,0.6053432016067246,2.1919433023230495e-25
sub-36,240,0.6098872135702913,7.677727552839844e-26
sub-37,240,0.5143699555692487,1.3031455502927422e-17
sub-38,240,0.5546089713261597,9.297776512708526e-21
sub-39,240,0.4472390688626588,3.326073334279243e-13
sub-40,240,0.5091245509259152,3.127628891897671e-17
sub-41,240,0.531886056544609,6.261681336098896e-19
sub-42,240,0.47859901370418007,3.828074787770343e-15
sub-43,240,0.48390055031236334,1.7185150983487243e-15
sub-44,240,0.5713921872521317,3.3544438293728638e-22
sub-45,240,0.5557971188573925,7.394451564788331e-21
sub-46,240,0.5577404785118447,5.073955981160983e-21
sub-47,240,0.5373687816624613,2.3341037557849147e-19
sub-48,240,0.5140451503603354,1.376346020478321e-17
sub-49,240,0.4277965443830528,4.2464067566967355e-12
sub-50,240,0.63136390613841,4.255227302535879e-28
